cinema_id,cinema_name_source,cinema_name_trans
cin0000001,Метрополь,Metropol'
cin0000002,Москва,Moskva
cin0000003,Ударник,Udarnik
cin0000004,Колизей,Kolizeĭ
cin0000005,Авангард,Avangard
cin0000006,Аврора,Avrora
cin0000007,Арс,Ars
cin0000008,Баррикады,Barrikady
cin0000009,Востоккино,Vostokkino
cin0000010,Динамо,Dinamo
cin0000011,Диск,Disk
cin0000012,Заря,Zaria
cin0000013,им. III Интернационала,im. III Internatsionala
cin0000014,Кадр,Kadr
cin0000015,Кинотеатр повторного фильма,Kinoteatr povtornogo fil'ma
cin0000016,Луч,Luch
cin0000017,Мир,Mir
cin0000018,Молот,Molot
cin0000019,Наука и знание,Nauka i znanie
cin0000020,Новости дня,Novosti dnia
cin0000021,Октябрь,Oktiabr'
cin0000022,Орион,Orion
cin0000023,Перекоп,Perekop
cin0000024,ПКиО Сокольники,PKIO Sokol'niki
cin0000025,Родина,Rodina
cin0000026,Сад им. Баумана,Sad im. Baumana
cin0000027,Сад Эрмитаж,Sad Ėrmitazh
cin0000028,Смена,Smena
cin0000029,Спартак,Spartak
cin0000030,Таганский,Taganskiĭ
cin0000031,Таганский ПКиО,Taganskiĭ PKIO
cin0000032,Театр киноактера,Teatr kinoaktera
cin0000033,Уран,Uran
cin0000034,Форум,Forum
cin0000035,Хроника,Khronika
cin0000036,Художественный,Khudozhestvennyĭ
cin0000037,Центральный,Tsentral'nyĭ
cin0000038,ЦПКиО им. Горького,TSPKiO im. Gor'kogo
cin0000039,Шторм,Shtorm
cin0000040,Экран жизни,Ėkran zhizni
cin0000041,Экспресс,Ėkspress
cin0000042,Юный зритель,IUnyĭ zritel'
cin0000043,Салют,Saliut
cin0000044,Стереокино,Stereokino
cin0000045,Эрмитаж,Ėrmitazh
cin0000046,Аквариум,Akvarium
cin0000047,Измайловский ПКиО имени Сталина,Izmaĭlovskiĭ PKiO imeni Stalina
cin0000048,Искра,Iskra
cin0000049,Кинозал короткометражного фильма,Kinozal korotkometrazhnogo fil'ma
cin0000050,ПКиО Сокольники,PKiO Sokol'niki
cin0000051,Победа,Pobeda
cin0000052,Дзержинский ПКиО,Dzerzhinskiĭ PKiO
cin0000053,Ждановский ПКиО,Zhdanovskiĭ PKiO
cin0000054,Красная Пресня,Krasnaia Presnia
cin0000055,Открытый кинотеатр (Усачёвский сквер),Otkrytyĭ kinoteatr (Usachëvskiī skver)
cin0000056,Открытый кинотеатр в парке им. Воровского,Otkrytyĭ kinoteatr v parke im. Vorovskogo
cin0000057,Призыв,Prizyv
cin0000058,им. Моссовета,im. Mossoveta
cin0000059,Маяк,Maiak
cin0000060,ВСХВ,VSKHV
cin0000061,Дружба,Druzhba
cin0000062,Звезда,Zvezda
cin0000063,Знамя,Znamia
cin0000064,Красная Пресня,Krasnaia presnia
cin0000065,Радуга,Raduga
cin0000066,ВСХВ малый зал,VSKHV malyī zal
cin0000067,Молния,Molniia
cin0000068,Отдых,Otdykh
cin0000069,Пионер,Pioner
cin0000070,Пламя,Plamia
cin0000071,Слава,Slava
