country_id,country_name,ISO_3166_1_alpha_2
ctr000001,Soviet Union,SU
ctr000002,United States,US
ctr000003,Great Britian,GB
ctr000004,East Germany,DD
ctr000005,Mongolia,MN
ctr000006,Bulgaria,BG
ctr000007,West Germany,DE
ctr000008,Romania,RO
ctr000009,Czechoslovakia,CS
ctr000010,France,FR
ctr000011,Italy,IT
ctr000012,Poland,PL
ctr000013,Austria,AT
ctr000014,Albania,AL
ctr000015,Idnia,IN
ctr000016,China,CN
ctr000017,Mexico,MX
ctr000018,North Korea,KP
ctr000019,Finland,FI
ctr000020,Vietnam,VN
ctr000021,Japan,JP
ctr000022,Argentina,AR
ctr000023,Yugoslavia,YU
ctr000024,Norway,NO
ctr000025,Hungary,HU
